tanggal,channel,campaign,tayangan,klik,biaya,konversi,pendapatan,engagement
2026-06-30,Instagram,IG-Prospecting-Video,333920,5227,15.845.924,103.48,21640885,16999
2026-06-30,Instagram,IG-Retargeting-Carousel,445532,6884,20.333.730,217.38,42472263,20583
2026-06-30,Instagram,IG-Brand-Awareness,218206,3778,10.885.007,91.66,17442706,5608
2026-06-30,TikTok,TT-Spark-Ads-KOL,391210,8823,17.401.696,192.8,28891990,12446
2026-06-30,TikTok,TT-Non-Branded-UGC,162881,4069,7.666.368,90.31,10872374,9552
2026-06-30,TikTok,TT-Live-Shopping,365058,9672,19.625.221,183.2,25332927,18897
2026-06-30,Google Ads,GAD-Search-Brand,191707,6245,35.337.160,218.51,58839283,6737
2026-06-30,Google Ads,GAD-Search-NonBrand,86879,2701,17.304.154,104.45,24352103,5350
2026-06-30,Google Ads,GAD-PMax-Catalog,74666,2644,17.219.767,120.83,32769310,3563
2026-06-30,YouTube,YT-Instream-Skippable,143313,1334,3.347.684,22.33,4512989,6274
2026-06-30,YouTube,YT-Shorts-Bumper,42039,336,768.603,5.85,1352475,1901
2026-06-30,Email,EM-Newsletter-Mingguan,26988,1211,1.462.584,61.22,13306309,1043
2026-06-30,Email,EM-Abandoned-Cart,35823,1541,2.010.059,84.8,21911144,835
2026-06-30,Email,EM-Winback-90d,26053,1095,1.375.668,64.11,17959523,1659
2026-06-30,Marketplace,MP-Flash-Sale,157691,2837,3.881.450,171.08,29022903,6244
2026-06-30,Marketplace,MP-Sponsored-Product,253814,4924,6.425.974,301.65,53049316,13581
2026-06-30,Marketplace,MP-Affiliate-KOL,302270,6818,8.540.577,453.62,70184746,11514
2026-07-01,Instagram,IG-Prospecting-Video,267493,4383,13.967.467,144.86,24904415,7190
2026-07-01,Instagram,IG-Retargeting-Carousel,187122,2909,10.246.254,88.81,19046216,4096
2026-07-01,Instagram,IG-Brand-Awareness,317799,5012,14.412.190,124.72,26326807,18609
2026-07-01,TikTok,TT-Spark-Ads-KOL,568042,13293,25.193.629,246.5,30362476,23977
2026-07-01,TikTok,TT-Non-Branded-UGC,362698,8527,14.471.157,169.09,25289212,15760
2026-07-01,TikTok,TT-Live-Shopping,629898,17821,31.709.661,437.29,54756464,24625
2026-07-01,Google Ads,GAD-Search-Brand,239256,8357,48.428.192,417.93,105004896,12455
2026-07-01,Google Ads,GAD-Search-NonBrand,299385,7806,56.081.495,398.4,101408015,17411
2026-07-01,Google Ads,GAD-PMax-Catalog,160045,4262,31.409.637,177.3,44082495,6811
2026-07-01,YouTube,YT-Instream-Skippable,82288,642,1.418.765,9.22,2320552,3188
2026-07-01,YouTube,YT-Shorts-Bumper,55402,598,1.559.930,9.27,1747974,1903
2026-07-01,Email,EM-Newsletter-Mingguan,106328,4184,4.943.872,242.86,49651524,2548
2026-07-01,Email,EM-Abandoned-Cart,53366,2503,3.028.350,146.79,31315068,1836
2026-07-01,Email,EM-Winback-90d,43281,1927,2.282.736,116.62,24877373,2824
2026-07-01,Marketplace,MP-Flash-Sale,247137,5222,5.596.132,295.12,45753679,12540
2026-07-01,Marketplace,MP-Sponsored-Product,171344,3835,5.257.031,195.63,26492106,7934
2026-07-01,Marketplace,MP-Affiliate-KOL,315651,6772,8.053.890,418.15,69510499,21796
2026-07-02,Instagram,IG-Prospecting-Video,208075,4294,14.699.819,104.9,20762150,12188
2026-07-02,Instagram,IG-Retargeting-Carousel,453356,6858,24.011.071,187.29,31574559,26729
2026-07-02,Instagram,IG-Brand-Awareness,377763,7357,20.456.340,228.83,47484370,16200
2026-07-02,TikTok,TT-Spark-Ads-KOL,286441,6048,12.302.098,88.84,12082513,19895
2026-07-02,TikTok,TT-Non-Branded-UGC,449959,11893,20.489.074,193.23,28650857,28478
2026-07-02,TikTok,TT-Live-Shopping,316539,7196,13.898.030,169.43,26012669,12450
2026-07-02,Google Ads,GAD-Search-Brand,319960,9909,64.780.588,523.7,158654684,18031
2026-07-02,Google Ads,GAD-Search-NonBrand,93726,3280,20.177.307,144.66,34038957,4972
2026-07-02,Google Ads,GAD-PMax-Catalog,154389,4645,28.845.432,220.31,51061996,9804
2026-07-02,YouTube,YT-Instream-Skippable,117773,1018,2.771.348,18.37,3380376,6110
2026-07-02,YouTube,YT-Shorts-Bumper,112592,1146,2.456.467,20.45,4562973,6650
2026-07-02,Email,EM-Newsletter-Mingguan,23411,1197,1.385.769,58.08,14615424,1177
2026-07-02,Email,EM-Abandoned-Cart,99695,4351,5.337.248,259.57,64496424,3978
2026-07-02,Email,EM-Winback-90d,75671,2943,3.530.157,173.28,40981793,3639
2026-07-02,Marketplace,MP-Flash-Sale,169588,3485,3.912.785,289.49,52533690,7557
2026-07-02,Marketplace,MP-Sponsored-Product,154728,3187,3.761.369,253.79,34645297,8370
2026-07-02,Marketplace,MP-Affiliate-KOL,363089,7160,8.700.134,360.02,64841896,22718
2026-07-03,Instagram,IG-Prospecting-Video,405195,7909,25.375.244,243.99,40284950,12176
2026-07-03,Instagram,IG-Retargeting-Carousel,162161,2432,7.474.883,66.68,13954950,7716
2026-07-03,Instagram,IG-Brand-Awareness,268547,4589,15.649.477,155.09,29666249,15699
2026-07-03,TikTok,TT-Spark-Ads-KOL,421886,12038,21.343.999,252.36,36243513,15705
2026-07-03,TikTok,TT-Non-Branded-UGC,575981,14597,29.948.908,235.76,31163876,37747
2026-07-03,TikTok,TT-Live-Shopping,129012,2667,4.544.408,42.59,6173792,4812
2026-07-03,Google Ads,GAD-Search-Brand,264993,9351,63.247.410,348.71,97452775,6958
2026-07-03,Google Ads,GAD-Search-NonBrand,111353,3455,25.436.386,122.31,29631011,5895
2026-07-03,Google Ads,GAD-PMax-Catalog,197086,6947,49.559.721,309.27,71274175,4390
2026-07-03,YouTube,YT-Instream-Skippable,111361,1122,2.625.151,18.41,4149747,5000
2026-07-03,YouTube,YT-Shorts-Bumper,98595,1108,2.901.604,15.75,3604495,3438
2026-07-03,Email,EM-Newsletter-Mingguan,19453,873,954.799,45.26,11539666,693
2026-07-03,Email,EM-Abandoned-Cart,71855,3782,4.036.003,248.15,58347299,3455
2026-07-03,Email,EM-Winback-90d,39095,1631,1.720.565,73.73,16838813,1533
2026-07-03,Marketplace,MP-Flash-Sale,209607,5045,5.740.520,270.52,44118464,7469
2026-07-03,Marketplace,MP-Sponsored-Product,268672,5675,6.419.234,372.05,49485980,18071
2026-07-03,Marketplace,MP-Affiliate-KOL,235895,4389,4.556.991,265.21,42062163,15125
2026-07-04,Instagram,IG-Prospecting-Video,421256,7908,24.780.020,250.0,53596354,23748
2026-07-04,Instagram,IG-Retargeting-Carousel,453124,8049,23.398.660,222.61,42979075,10728
2026-07-04,Instagram,IG-Brand-Awareness,390836,6593,22.240.674,221.83,36588920,26872
2026-07-04,TikTok,TT-Spark-Ads-KOL,435169,9772,18.934.653,235.13,28543883,19781
2026-07-04,TikTok,TT-Non-Branded-UGC,381408,7825,13.973.696,138.74,18495272,19190
2026-07-04,TikTok,TT-Live-Shopping,436357,10946,22.603.190,174.57,25549728,15256
2026-07-04,Google Ads,GAD-Search-Brand,167325,5254,32.100.876,251.53,76544120,6428
2026-07-04,Google Ads,GAD-Search-NonBrand,272712,8737,60.630.332,436.03,127467515,5818
2026-07-04,Google Ads,GAD-PMax-Catalog,214467,7401,49.225.799,365.82,108087347,10547
2026-07-04,YouTube,YT-Instream-Skippable,70517,702,1.506.773,11.92,2723629,1522
2026-07-04,YouTube,YT-Shorts-Bumper,159555,1224,2.630.620,15.81,3624409,6465
2026-07-04,Email,EM-Newsletter-Mingguan,103345,5463,5.694.537,321.71,69359358,3138
2026-07-04,Email,EM-Abandoned-Cart,54203,2519,2.726.138,118.51,33255590,2012
2026-07-04,Email,EM-Winback-90d,58976,2953,3.748.663,166.22,42426782,1746
2026-07-04,Marketplace,MP-Flash-Sale,177689,3321,3.743.014,273.12,40266293,5395
2026-07-04,Marketplace,MP-Sponsored-Product,306140,6040,7.890.498,488.44,71598390,7988
2026-07-04,Marketplace,MP-Affiliate-KOL,304436,7621,10.392.509,585.35,102670414,10510
2026-07-05,Instagram,IG-Prospecting-Video,278876,4842,14.362.719,125.05,23543826,8395
2026-07-05,Instagram,IG-Retargeting-Carousel,433305,8645,28.624.559,185.55,36228349,13919
2026-07-05,Instagram,IG-Brand-Awareness,440382,8597,26.793.629,174.09,35461248,11022
2026-07-05,TikTok,TT-Spark-Ads-KOL,513194,12565,21.984.870,301.04,46781052,32803
2026-07-05,TikTok,TT-Non-Branded-UGC,400335,11391,21.401.169,200.55,30914365,9797
2026-07-05,TikTok,TT-Live-Shopping,513174,13415,27.141.191,322.48,38790576,32901
2026-07-05,Google Ads,GAD-Search-Brand,127342,4733,30.719.648,192.48,60756981,8673
2026-07-05,Google Ads,GAD-Search-NonBrand,335786,8366,47.973.117,373.29,119455914,11493
2026-07-05,Google Ads,GAD-PMax-Catalog,316089,9775,70.228.454,519.84,141239825,9369
2026-07-05,YouTube,YT-Instream-Skippable,51574,482,1.047.684,6.01,1399240,3071
2026-07-05,YouTube,YT-Shorts-Bumper,139901,1157,3.106.322,19.77,4730160,6402
2026-07-05,Email,EM-Newsletter-Mingguan,32705,1315,1.494.181,55.47,12472492,1081
2026-07-05,Email,EM-Abandoned-Cart,47567,2585,3.310.017,120.79,24757624,2506
2026-07-05,Email,EM-Winback-90d,69745,2718,3.169.461,127.37,31360193,4516
2026-07-05,Marketplace,MP-Flash-Sale,307723,5473,6.164.041,439.22,72511622,9526
2026-07-05,Marketplace,MP-Sponsored-Product,120258,2776,3.246.708,192.41,31083818,5236
2026-07-05,Marketplace,MP-Affiliate-KOL,290223,5408,6.985.818,306.7,54936041,6992
2026-07-06,Instagram,IG-Prospecting-Video,280441,4313,11.985.977,118.89,22910997,12697
2026-07-06,Instagram,IG-Retargeting-Carousel,268314,4623,13.089.132,124.54,21239453,13190
2026-07-06,Instagram,IG-Brand-Awareness,132558,2755,8.851.470,71.59,13374927,3034
2026-07-06,TikTok,TT-Spark-Ads-KOL,386975,10117,19.939.213,186.03,27281841,18929
2026-07-06,TikTok,TT-Non-Branded-UGC,142317,2820,5.736.947,69.47,8016134,9491
2026-07-06,TikTok,TT-Live-Shopping,139593,3711,7.637.717,82.57,11728737,5726
2026-07-06,Google Ads,GAD-Search-Brand,234495,8344,52.213.248,437.62,127714228,12449
2026-07-06,Google Ads,GAD-Search-NonBrand,165787,4826,31.722.639,171.93,47694777,9349
2026-07-06,Google Ads,GAD-PMax-Catalog,78716,1974,13.501.233,75.8,21138138,3668
2026-07-06,YouTube,YT-Instream-Skippable,118830,1059,2.876.241,13.37,3099592,3047
2026-07-06,YouTube,YT-Shorts-Bumper,125303,1317,2.701.641,22.79,4413533,3138
2026-07-06,Email,EM-Newsletter-Mingguan,21265,1058,1.360.875,41.9,9964012,674
2026-07-06,Email,EM-Abandoned-Cart,37164,1406,1.580.796,73.66,20075506,2103
2026-07-06,Email,EM-Winback-90d,41076,2020,2.279.711,95.43,20615826,2177
2026-07-06,Marketplace,MP-Flash-Sale,122188,2115,2.827.542,172.16,31196191,6268
2026-07-06,Marketplace,MP-Sponsored-Product,186311,4652,5.868.939,377.45,65820502,6695
2026-07-06,Marketplace,MP-Affiliate-KOL,160507,3204,3.814.355,238.88,42479590,5624
2026-07-07,Instagram,IG-Prospecting-Video,397552,8575,31.290.243,236.17,45659640,10616
2026-07-07,Instagram,IG-Retargeting-Carousel,168240,3295,11.642.370,107.71,17582155,9460
2026-07-07,Instagram,IG-Brand-Awareness,155117,3069,10.921.605,86.31,14623133,9010
2026-07-07,TikTok,TT-Spark-Ads-KOL,489408,11649,19.917.443,271.84,42519781,10163
